symbol,code,name,current,percent,change,high,low,high52w,low52w,marketcapital,amount,pettm,volume
SZ000629,000629,攀钢钒钛,2.93,4.27,0.12,3.05,2.83,4.41,2.8,2.516795637186E10,6.9316493988E8,15.75,235487431
SZ000532,000532,华金资本,9.05,4.26,0.37,9.55,8.97,17.68,8.44,3.119610477E9,8.299883532E7,64.57,8871319
SH600891,600891,秋林集团,5.14,4.26,0.21,5.18,4.95,8.94,4.77,3.17439102742E9,2.5452437E7,24.82,4996897
SH603110,603110,东方材料,13.29,4.24,0.54,13.36,12.72,28.63,11.04,1.9102166202E9,2.3586133E7,37.92,1810091
SZ002507,002507,涪陵榨菜,24.18,4.22,0.98,24.5,23.36,30.78,12.7,1.908665808738E10,2.6867754884E8,34.87,11143844
SZ300540,300540,深冷股份,14.53,4.16,0.58,14.95,13.53,24.08,11.47,1.80767722735E9,9.371729478E7,94.37,6688857
SH600715,600715,文投控股,5.03,4.14,0.2,5.31,4.79,23.33,4.75,9.329913105E9,8.0319544E7,102.77,15908930
SH600521,600521,华海药业,19.93,4.13,0.79,20.14,18.92,32.66,17.28,2.492921405534E10,2.27811749E8,43.49,11530811
SZ002002,002002,鸿达兴业,3.06,4.08,0.12,3.08,2.93,8.09,2.8,7.92146419434E9,1.5078759097E8,8.61,49825440
SZ300527,300527,中国应急,8.96,4.07,0.35,9.25,8.37,16.26,6.95,7.83554688E9,3.6840476781E8,38.71,42151971
SH603726,603726,朗迪集团,23.29,4.07,0.91,23.38,22.42,28.2,16.46,3.08844032E9,4.5721626E7,25.86,1993540
SH600682,600682,南京新百,11.38,4.02,0.44,11.45,11.01,41.41,9.94,1.471107869684E10,2.34204244E8,,20881207
SZ300517,300517,海波重科,14.96,3.96,0.57,15.25,14.39,27.95,13.7,1.59853584E9,6.585105815E7,48.41,4452881
SZ300347,300347,泰格医药,53.8,3.96,2.05,54.6,52.3,69.96,25.78,2.69094976906E10,2.6100213371E8,67.27,4857140
SZ300588,300588,熙菱信息,13.75,3.93,0.52,14.2,12.91,30.53,9.91,2.2E9,1.6880675444E8,53.37,12398999
SZ300393,300393,中来股份,17.01,3.91,0.64,17.2,16.25,48.29,14.5,4.0993195068E9,7.237456094E7,23.96,4300857
SH603601,603601,再升科技,7.45,3.91,0.28,7.48,7.16,11.57,7.0,4.0275576418E9,1.8943068E7,27.88,2577079
SZ300284,300284,苏交科,9.34,3.89,0.35,9.5,8.95,15.01,7.31,7.56077655056E9,7.545168609E7,15.27,8117765
SZ300267,300267,尔康制药,3.75,3.88,0.14,3.82,3.59,10.29,3.25,7.7347682625E9,6.023790493E7,24.08,16261102
SZ000950,000950,重药控股,7.49,3.88,0.28,7.93,7.2,12.88,7.18,1.294410337304E10,3.1452613457E8,10.52,41266469
SH600106,600106,重庆路桥,3.22,3.87,0.12,3.31,3.09,4.9,2.86,3.5367443804E9,6.1481453E7,12.97,19178331
SZ300164,300164,通源石油,8.63,3.85,0.32,8.77,8.32,9.56,5.29,3.89439243217E9,2.5307273695E8,36.82,29601700
SH600326,600326,西藏天路,7.06,3.82,0.26,7.15,6.69,12.72,5.35,6.1096146406E9,2.1800888E8,17.58,31245362
SZ002648,002648,卫星石化,11.22,3.79,0.41,11.25,10.72,20.23,8.98,1.195615324332E10,1.0719308898E8,15.23,9827350
SH600693,600693,东百集团,5.54,3.75,0.2,5.6,5.35,12.23,5.17,4.97618947992E9,3.5522156E7,26.36,6468000
SZ000650,000650,仁和药业,7.51,3.73,0.27,7.54,7.19,8.28,4.42,9.29993397076E9,2.6610908587E8,20.08,35913167
SZ000935,000935,四川双马,15.2,3.68,0.54,15.68,14.81,30.48,13.62,1.16042930616E10,1.0432102107E8,25.97,6838731
SZ000961,000961,中南建设,6.21,3.67,0.22,6.25,5.9,8.3,5.41,2.303778842937E10,1.3632000969E8,19.22,22024986
SH600807,600807,*ST天业,2.54,3.67,0.09,2.57,2.4,16.97,1.96,2.24697221674E9,1.07919573E8,,42717740
SZ002243,002243,通产丽星,7.93,3.66,0.28,8.15,7.59,11.88,5.13,2.89404522108E9,1.8109141007E8,62.94,23056564
SZ002035,002035,华帝股份,10.22,3.65,0.36,10.43,9.98,23.47,9.72,8.91841272728E9,1.921536099E8,14.47,18721540
SH603101,603101,汇嘉时代,12.31,3.62,0.43,12.45,11.95,18.09,10.97,2.9544E9,2.6845705E7,25.1,2195800
SZ300216,300216,千山药机,4.31,3.61,0.15,4.5,4.05,25.92,3.46,1.5577845052E9,2.0645214514E8,,48154640
SH603843,603843,正平股份,8.7,3.57,0.3,8.95,8.26,18.27,7.4,3.4800261E9,1.39276797E8,45.79,16155334
SH600535,600535,天士力,22.95,3.56,0.79,23.2,22.49,33.94,19.71,3.47156899326E10,2.3517814E8,22.47,10271496
SZ002273,002273,水晶光电,11.84,3.5,0.4,12.07,11.5,23.69,10.38,1.021580968576E10,2.805481869E8,22.28,23754561
SZ002382,002382,蓝帆医疗,19.28,3.49,0.65,19.5,18.9,25.36,13.21,1.858680853808E10,5.0446251E7,75.8,2615400
SZ002363,002363,隆基机械,5.64,3.49,0.19,5.98,5.42,10.42,5.25,2.34680569764E9,5.71918483E7,36.52,10144009
SH600007,600007,中国国贸,14.83,3.49,0.5,14.89,14.27,19.82,12.78,1.493799997922E10,2.6189764E7,20.09,1777663
SZ002427,002427,*ST尤夫,8.93,3.48,0.3,9.0,8.3,34.86,5.88,3.55552109594E9,6.367092404E7,15.61,7268898
